Timestep,Traffic_Light_ID,State,Phase_Duration,Traffic_Light_1_2,Traffic_Light_3_4,Zebra_Crossing_Light
156,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
157,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
157,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
158,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
158,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
159,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
159,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
160,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
160,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
161,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
161,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
162,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
162,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
163,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
163,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
164,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
164,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
165,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
165,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
166,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
166,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
167,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
167,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
168,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
168,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
169,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
169,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
170,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
170,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
171,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
171,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
172,cluster_11502623497_1177160337,GGrrr,42.0,GG,rr,r
172,cluster_664446535_8507351666,GGrrr,42.0,GG,rr,r
173,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
173,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
174,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
174,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
175,cluster_11502623497_1177160337,yyrrr,3.0,yy,rr,r
175,cluster_664446535_8507351666,yyrrr,3.0,yy,rr,r
176,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
176,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
177,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
177,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
178,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
178,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
179,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
179,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
180,cluster_11502623497_1177160337,rrGGg,42.0,rr,GG,g
180,cluster_664446535_8507351666,rrGGG,42.0,rr,GG,G
181,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
181,cluster_664446535_8507351666,rryyy,3.0,rr,yy,y
182,cluster_11502623497_1177160337,rryyy,3.0,rr,yy,y
