Vehicle_ID,Depart_Time,Arrival_Time,Duration,Waiting_Time,Time_Loss,Distance_Traveled
veh65.1,572.0,618.0,46.0,2.0,18.01,425.72
veh54.8,485.0,619.0,134.0,18.0,59.87,1037.37
veh65.2,575.0,619.0,44.0,0.0,20.27,425.72
veh49.9,457.0,621.0,164.0,11.0,52.49,1554.58
veh45,394.0,623.0,229.0,28.0,104.67,1898.54
veh45.1,395.0,624.0,229.0,25.0,108.25,1898.54
veh45.2,396.0,626.0,230.0,26.0,109.49,1898.54
veh50.1,441.0,627.0,186.0,40.0,75.88,1660.06
veh45.4,400.0,629.0,229.0,25.0,113.84,1898.54
veh50.2,444.0,629.0,185.0,37.0,75.69,1660.06
veh45.5,402.0,631.0,229.0,20.0,113.56,1898.54
veh50.3,447.0,632.0,185.0,27.0,67.47,1660.06
veh45.3,398.0,633.0,235.0,21.0,97.95,1898.54
veh45.7,407.0,633.0,226.0,18.0,127.81,1898.54
veh45.8,410.0,634.0,224.0,15.0,132.68,1898.54
veh65.3,578.0,634.0,56.0,8.0,28.6,425.72
veh50.4,450.0,635.0,185.0,22.0,69.74,1660.06
veh52.3,458.0,635.0,177.0,0.0,31.95,1601.24
veh65.4,581.0,636.0,55.0,7.0,28.53,425.72
veh45.6,404.0,637.0,233.0,19.0,107.22,1898.54
veh50.5,453.0,637.0,184.0,21.0,70.21,1660.06
veh62,543.0,637.0,94.0,0.0,13.46,849.79
veh62.1,546.0,639.0,93.0,2.0,23.95,849.79
veh50.6,456.0,641.0,185.0,9.0,56.23,1660.06
veh62.2,549.0,641.0,92.0,0.0,25.29,849.79
veh50.7,459.0,643.0,184.0,8.0,63.31,1660.06
veh62.3,552.0,643.0,91.0,0.0,16.56,849.79
veh52.4,460.0,644.0,184.0,21.0,72.98,1601.24
